Remove,,,,
These,,,,
Rows,,,,
,,,,
longitude,latitude,shopname,location,accuracy
-112.1347187,33.86405429,Starbucks - AZ - Anthem  00106,"Safeway-Anthem #1726_3655 W Anthem Way_Anthem, Arizona 85086",465
-112.1344948,33.86381987,Starbucks - AZ - Anthem [WD]  00107,"Anthem & I-17, Anthem_3640 W. Anthem Way_Anthem, Arizona 850860416_623-551-5407",465
-111.57396,33.415339,Starbucks - AZ - Apache Junction [WD]  00108,"Apache Trail & Delaware, Apache Jun_2580 W. Apache Trail_Apache Junction, Arizona 852205205_480-982-2346",465
-112.287081,33.493493,Starbucks - AZ - Avondale [WD]  00109,"Indian School & 107 Ave, Avondale_10585 W. Indian School Rd_Avondale, Arizona 85323_623-872-1602",465
-112.3050986,33.43536059,Starbucks - AZ - Avondale [W]  00110,"115th Ave. & Buckeye, Avondale_11435 W. Buckeye Road_Avondale, Arizona 853236812_623-936-0591",465
-112.2753599,33.46464844,Starbucks - AZ - Avondale [W]  00111,"Mc Dowell & 99th, Avondale_10030 W.  McDowell Road, Suite 160_Avondale, Arizona 853234858_623-907-0917",465
-114.5864543,35.12158199,Starbucks - AZ - Bullhead City  00112,"Safeway-Bullhead City #248_1751 Highway 95_Bullhead City, Arizona 86442",465
-111.8655,34.5658,Starbucks - AZ - Camp Verde [WD]  00113,"I-17 & Hwy 260, Camp Verde_1620 W. Highway 260_Camp Verde, Arizona 863225203_928-567-0274",465
-111.740086,32.89571681,Starbucks - AZ - Casa Grande  00114,"Safeway-Casa Grande #1706_1637 N Trekel Rd_Casa Grande, Arizona 85222",465
-111.806444,33.21903128,Starbucks - AZ - Chandler  00115,"Albertsons-Chandler #1021_2935 E Riggs Road_Chandler, Arizona 85249",465
-111.9124763,33.31998926,Starbucks - AZ - Chandler  00116,"Albertsons-Chandler #997_4060 West Ray Rd_Chandler, Arizona 85226",465
-111.789399,33.234573,Starbucks - AZ - Chandler  00117,"Bashas' - Chandler #161_4940 S Gilbert Rd_Chandler, Arizona 85249",465
-111.8228735,33.32087638,Starbucks - AZ - Chandler  00118,"Safeway-Chandler #1605_1060 E Ray Rd_Chandler, Arizona 85225_480-855-5005",465
-111.9015716,33.30567804,Starbucks - AZ - Chandler  00119,"The Great Indoors-Chandler_3460 W. Chandler Blvd_Chandler, Arizona 85244",465
-111.8585749,33.23378805,Starbucks - AZ - Chandler  00120,"Safeway-Chandler #1566_4970 S Alma School Rd_Chandler, Arizona 85248",465
-111.84192,33.30353,Starbucks - AZ - Chandler  00121,"San Marcos Resorts and Conference_One San Marcos Place_Chandler, Arizona 85225",465
-111.84123,33.28584,Starbucks - AZ - Chandler [WD]  00122,"Arizona Ave & Loop 202, Chandler_1395 S. Arizona Avenue_Chandler, Arizona 85248_480-857-2410",465
-111.9118504,33.31999187,Starbucks - AZ - Chandler [WD]  00123,"McClintock & Ray, Chandler_4030 W. Ray Road_Chandler, Arizona 85226_480-752-8522",465
-111.9684795,33.31760813,Starbucks - AZ - Chandler [W]  00124,"54th St. & Ray Rd., Chandler_885 N. 54th Street_Chandler, Arizona 852261528_480-496-0147",465
-111.9482622,33.30531037,Starbucks - AZ - Chandler [W]  00125,"Chandler & Kyrene, Chandler_6140 West Chandler Blvd_Chandler, Arizona 85226_480-893-1923",465
-111.8964975,33.30569847,Starbucks - AZ - Chandler [W]  00126,"Chandler & Price Road, Phoenix_3161 W Chandler Blvd_Chandler, Arizona 852265063_480-917-1963",465
-111.858732,33.34972709,Starbucks - AZ - Chandler [W]  00127,"Alma School & Elliot Rd, Chandler_985 West Elliot Road_Chandler, Arizona 852251883_480-963-1335",465
-111.8746327,33.3060856,Starbucks - AZ - Chandler [W]  00128,"Dobson & Chandler_1900 W. Chandler Blvd._Chandler, Arizona 85224_480-857-7233",465
-111.8764317,33.33595832,Starbucks - AZ - Chandler [W]  00129,"Dobson & Warner, Chandler_2050 N. Dobson Road, Suite 5_Chandler, Arizona 852242293_480-782-9307",465
-111.8600981,33.26181573,Starbucks - AZ - Chandler [W]  00130,"Queen Creek & Alma School, Chandler_1085 W Queen Creek Rd_Chandler, Arizona 85248_480-899-9295",465
-112.4521866,34.78282547,Starbucks - AZ - Chino Valley  00131,"Safeway-Chino Valley #1747_1031 N US Hwy 89_Chino Valley, Arizona 86323",465
-112.0089493,34.72846222,Starbucks - AZ - Cottonwood  00132,"Safeway-Cottonwood #2052_1635 Cottonwood St_Cottonwood, Arizona 86326",465
-111.6638424,35.18716021,Starbucks - AZ - Flagstaff  00133,"Safeway - Flagstaff #2028_1201 S Plaza Way_Flagstaff, Arizona 86001_520-779-3401",465
-111.6613874,35.18429883,Starbucks - AZ - Flagstaff  00134,"Target Flagstaff T-935_1650 S Milton Rd_Flagstaff, Arizona 86001",465
-111.631,35.216557,Starbucks - AZ - Flagstaff  00135,"Safeway - Flagstaff #1225_1500 East Cedar Ave_Flagstaff, Arizona 86004",465
-111.7398,35.3625,Starbucks - AZ - Flagstaff  00136,"Safeway-Flagstaff #270_4910 N US-89_Flagstaff, Arizona 86001",465
