city,latitude,longitude,country,iso2,admin_name,capital,population,population_proper,radius
Kabul,34.5328,69.1658,Afghanistan,AF,Kābul,primary,3678034,3678034,14
Kandahār,31.6078,65.7053,Afghanistan,AF,Kandahār,admin,491500,491500,14
Herāt,34.3738,62.1792,Afghanistan,AF,Herāt,admin,436300,436300,14
Mazār-e Sharīf,36.7,67.1167,Afghanistan,AF,Balkh,admin,427600,427600,14
Kunduz,36.728,68.8725,Afghanistan,AF,Kunduz,admin,259809,161902,14
Jalālābād,34.4303,70.4528,Afghanistan,AF,Nangarhār,admin,205423,205423,14
Lashkar Gāh,31.5938,64.3716,Afghanistan,AF,Helmand,admin,201546,201546,14
Maīmanah,35.9302,64.7701,Afghanistan,AF,Fāryāb,admin,199795,199795,14
Shibirghān,36.665,65.752,Afghanistan,AF,Jowzjān,admin,175599,175599,14
Khōst,33.3333,69.9167,Afghanistan,AF,Khōst,admin,160214,160214,14
Ghaznī,33.5492,68.4233,Afghanistan,AF,Ghaznī,admin,143379,143379,14
Pul-e Khumrī,35.95,68.7,Afghanistan,AF,Baghlān,admin,113500,113500,14
Tāluqān,36.7167,69.5167,Afghanistan,AF,Takhār,admin,77000,77000,66
Balkh,36.7581,66.8989,Afghanistan,AF,Balkh,minor,77000,77000,66
Farāh,32.3436,62.1194,Afghanistan,AF,Farāh,admin,73647,43561,66
Baghlān,36.1328,68.7,Afghanistan,AF,Baghlān,minor,73031,73031,66
Gardēz,33.5931,69.2297,Afghanistan,AF,Paktiyā,admin,70000,70000,66
Faīẕābād,37.1298,70.5792,Afghanistan,AF,Badakhshān,admin,64704,40276,66
Bāmyān,34.8167,67.8167,Afghanistan,AF,Bāmyān,admin,61863,61863,66
Chārīkār,35.0183,69.1679,Afghanistan,AF,Parwān,admin,53676,53676,66
Sar-e Pul,36.2214,65.9278,Afghanistan,AF,Sar-e Pul,admin,51075,51075,66
Zaranj,30.96,61.86,Afghanistan,AF,Nīmrōz,admin,49851,49851,66
Asadābād,34.8742,71.1528,Afghanistan,AF,Kunaṟ,admin,48400,48400,66
Maīdān Shahr,34.3972,68.8697,Afghanistan,AF,Wardak,admin,35008,35008,66
Kōṯah-ye ‘As̲h̲rō,34.45,68.8,Afghanistan,AF,Wardak,,35008,35008,66
Khulm,36.6833,67.6833,Afghanistan,AF,Balkh,minor,28078,28078,66
Khānābād,36.6831,69.1636,Afghanistan,AF,Kunduz,minor,26803,26803,66
Barakī Barak,33.9667,68.9667,Afghanistan,AF,Lōgar,minor,22305,22305,66
Karukh,34.4868,62.5918,Afghanistan,AF,Herāt,minor,17484,11293,66
Mehtar Lām,34.65,70.1833,Afghanistan,AF,Laghmān,admin,17345,17345,66
Fayrōz Kōh,34.5225,65.2517,Afghanistan,AF,Ghōr,admin,15000,15000,66
Andkhōy,36.95,65.1167,Afghanistan,AF,Fāryāb,minor,13137,13137,66
Qalāt,32.1061,66.9069,Afghanistan,AF,Zābul,admin,12191,12191,66
Tarīn Kōṯ,32.6333,65.8667,Afghanistan,AF,Uruzgān,admin,10000,10000,66
Maḩmūd-e Rāqī,35.0167,69.3333,Afghanistan,AF,Kāpīsā,admin,7407,7407,66
Qal‘ah-ye Now,34.99,63.12,Afghanistan,AF,Bādghīs,admin,5340,5340,111
Aībak,36.2534,68.0394,Afghanistan,AF,Samangān,admin,4938,4938,111
Pul-e ‘Alam,33.9953,69.0227,Afghanistan,AF,Lōgar,admin,,,111
Sharan,33.1757,68.7304,Afghanistan,AF,Paktīkā,admin,,,111
Nīlī,33.7218,66.1302,Afghanistan,AF,Dāykundī,admin,,,111
Bāzārak,35.3129,69.5152,Afghanistan,AF,Panjshir,admin,,,111
Pārūn,35.4206,70.9226,Afghanistan,AF,Nūristān,admin,,,111
Injīl,34.3016,62.2465,Afghanistan,AF,Herāt,minor,,,111
Ibrāhīm Khān,35.0535,69.2565,Afghanistan,AF,Parwān,minor,,,111
Mīr Bachah Kōṯ,34.75,69.119,Afghanistan,AF,Kābul,minor,,,111
Jabal us Sarāj,35.1183,69.2378,Afghanistan,AF,Parwān,minor,,,111
Nādir Shāh Kōṯ,34.2435,70.7285,Afghanistan,AF,Nangarhār,minor,,,111
Kalakān,34.7837,69.15,Afghanistan,AF,Kābul,minor,,,111
Āqchah,36.905,66.1834,Afghanistan,AF,Jowzjān,minor,,,111
Qarah Bāgh Bāzār,34.8529,69.1706,Afghanistan,AF,Kābul,minor,,,111
Nādir Shāh Kōṯ,33.3066,69.6938,Afghanistan,AF,Khōst,minor,,,111
Chandal Bā’ī,34.5847,68.9552,Afghanistan,AF,Kābul,minor,,,111
Sulţānpūr-e ‘Ulyā,34.412,70.2963,Afghanistan,AF,Nangarhār,minor,,,111
Sangar Sarāy,34.4074,70.6394,Afghanistan,AF,Nangarhār,minor,,,111
Istālif,34.8327,69.0776,Afghanistan,AF,Kābul,minor,,,111
Deh-e Now,34.7477,69.0478,Afghanistan,AF,Kābul,minor,,,111
Ghulām ‘Alī,34.9508,69.2287,Afghanistan,AF,Parwān,minor,,,111
Ḩāfiz̧ān,34.2867,70.3725,Afghanistan,AF,Nangarhār,minor,,,111
Zargarān,34.7876,69.0588,Afghanistan,AF,Kābul,minor,,,111
Surkh Bilandī,34.6847,69.0286,Afghanistan,AF,Kābul,minor,,,111
Dehdādī,36.6632,66.9934,Afghanistan,AF,Balkh,minor,,,111
Maīdān Khūlah,33.6492,69.7812,Afghanistan,AF,Paktiyā,minor,,,111
Kā’ī,34.1282,70.7183,Afghanistan,AF,Nangarhār,minor,,,111
Bāsawul,34.2475,70.8722,Afghanistan,AF,Nangarhār,minor,,,666
Bagrāmī,34.4938,69.2743,Afghanistan,AF,Kābul,minor,,,666
Kaz̲h̲ah,34.2409,70.1827,Afghanistan,AF,Nangarhār,minor,,,666
Khulbisāt,33.4948,70.0061,Afghanistan,AF,Khōst,minor,,,666
S̲h̲ēwah,34.5717,70.5886,Afghanistan,AF,Nangarhār,minor,,,666
Shērwānī-ye Bālā,35.0147,69.5993,Afghanistan,AF,Kāpīsā,minor,,,666
Khwājah Ghār,37.0659,69.4213,Afghanistan,AF,Takhār,minor,,,666
Tsamkanī,33.803,69.8167,Afghanistan,AF,Paktiyā,minor,,,666
Qal‘ah-ye Shāhī,34.6492,70.5914,Afghanistan,AF,Nangarhār,minor,,,666
Charkh,33.7971,68.9375,Afghanistan,AF,Lōgar,minor,,,666
Narang,34.7601,71.0474,Afghanistan,AF,Kunaṟ,minor,,,666
Shahrān,36.9798,70.7393,Afghanistan,AF,Badakhshān,minor,,,666
Ḩājī Khēl,35.1092,69.4334,Afghanistan,AF,Kāpīsā,minor,,,666
Tsowkêy,34.6925,70.9269,Afghanistan,AF,Kunaṟ,minor,,,666
Qal‘ah-ye Na‘īm,34.3995,69.1671,Afghanistan,AF,Kābul,minor,,,666
Gōshtah,34.3582,70.7626,Afghanistan,AF,Nangarhār,minor,,,666
Wulêswālī Sayyid Karam,33.6906,69.3688,Afghanistan,AF,Paktiyā,minor,,,666
Stêr Giyān,32.977,69.3731,Afghanistan,AF,Paktīkā,minor,,,666
Mīray,33.3246,68.4407,Afghanistan,AF,Ghaznī,minor,,,666
Māmā Khēl,34.2449,69.9968,Afghanistan,AF,Nangarhār,minor,,,666
Pāshmūl,31.5572,65.4343,Afghanistan,AF,Kandahār,minor,,,666
Imām Şāḩib,37.189,68.9364,Afghanistan,AF,Kunduz,minor,,,666
Alah Sāy,34.8965,69.7205,Afghanistan,AF,Kāpīsā,minor,,,666
Sar Kāṉī,34.7902,71.1096,Afghanistan,AF,Kunaṟ,minor,,,666
Wuluswālī ‘Alīngār,34.8353,70.3593,Afghanistan,AF,Laghmān,minor,,,666
Dasht-e Qal‘ah,37.1539,69.4435,Afghanistan,AF,Takhār,minor,,,666
